id,Chinese,English,Status
535,责,duty/responsibility/to reproach/to blame,1
536,营,army/to deal in/to trade/to operate/to run/camp/nourishment/to manage,1
537,星,star/satellite/small amount,1
538,够,to reach/to be enough,1
539,章,(surname)/chapter/seal/section,1
540,音,sound/noise/news,1
541,跟,to follow/to go with/heel/with/and,1
542,志,"the will, sign/mark/to record/write a footnote",1
543,底,"(possessive part.)/(subor. part.), background/bottom/base",1
544,站,station/to stand/to halt/to stop,1
545,严,(air or water) tight/stern/serious/strict/severe,1
546,巴,"(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)",1
547,例,example/precedent/rule/case/instance,1
548,防,to protect/to defend/to guard (against),1
549,族,race/nationality/ethnicity/clan,1
550,供,"offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession",1
551,效,"imitate, effect/efficacy/imitate",1
552,续,continue/replenish,1
553,施,(surname)/distribute (alms)/to do/to execute/to carry out,1
554,留,leave (message)/to retain/to stay/to remain/to keep/to preserve,1
555,讲,to talk/speech/to speak/to tell/to explain,1
556,型,model,1
557,料,material/stuff/grain/feed/to expect/to anticipate/to guess,1
558,终,end/finish,1
559,答,"to answer/agree, reply/answer/return/respond/echo",1
560,紧,tight/nervous/strict,1
561,黄,(surname)/sulfur/yellow,1
562,绝,cut short/extinct/to disappear/to vanish/absolutely/by no means,1
563,奇,"odd (Num), strange/odd/weird/wonderful",1
564,察,examine/inquire/observe/inspect/look into/to examine,1
565,母,female/mother,1
566,京,capital/Beijing (abbrev.),1
567,段,(surname)/paragraph/section/segment,1
568,依,according to/depend on/near to,1
569,批,"to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on",1
570,群,crowd/flock/group,1
571,项,(surname)/back of neck/item/thing,1
572,故,happening/instance/reason/cause/deceased/old,1
573,按,to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of,1
574,河,river,1
575,米,(measure word) meter/rice,1
576,围,to circle/to surround,1
577,江,river,1
578,织,weave,1
579,害,to do harm to/to cause trouble to/harm/evil/calamity,1
580,斗,"Chinese peck, to fight/to battle/to struggle/to incite, fight/incite",1
581,双,two/double/pair/both,1
582,境,border/place/condition/boundary/circumstances/territory,1
583,客,customer/visitor/guest,1
584,纪,discipline/age/era/period/order/record,1
585,采,"to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble",1
586,举,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect,1
587,杀,to kill/to murder/to slaughter,1
588,攻,to attack/to accuse/to study,1
589,父,father,1
590,苏,"loquacious/nag, revive, (plant)/place name/revive",1
591,密,secret/confidential/close/thick/dense,1
592,低,to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low,1
593,朝,"to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning",1
594,友,friend,1
595,诉,complain/sue/tell,1
596,止,to stop/toe,1
597,细,fine/minutely/thin/slender,1
598,愿,"sincere/willing, hope/wish/desire/ready/willing",1
599,千,"thousand, a swing",1
600,值,value/(to be) worth/to happen,1
601,仍,still/yet/to remain,1
602,男,male,1
603,钱,(surname)/coin/money,1
604,破,to break/to split/broken/damaged/worn out,1
605,网,"net/network, a net",1
606,热,heat/to heat up/fervent/hot (of weather)/warm up,1
607,助,to help/to assist,1
608,倒,"to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted",1
609,育,nourish/to rear,1
610,属,"belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on",1
611,坐,"to sit/to take a seat/to take (a bus, airplane etc.)",1
612,帝,emperor,1
613,限,limit/bound,1
614,船,a boat/vessel/ship,1
615,脸,face,1
616,职,office/duty,1
617,速,fast/rapid/quick,1
618,刻,quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive,1
619,乐,"(surname)/happy/laugh/cheerful, (surname)/music",1
620,否,"to negate/to deny/not, clogged/evil",1
621,刚,hard/firm/strong/just/barely/exactly,1
622,威,power/might/prestige,1
623,毛,hair/pore/fur,1
624,状,accusation/suit/state/condition/strong/great,1
625,率,"rate/frequency, to lead/command",1
626,甚,very/extremely/more (than),1
627,独,alone/independent/single/sole/only,1
628,球,ball/sphere,1
629,般,sort/kind/class/way/manner,1
630,普,general/popular/everywhere/universal,1
631,怕,to be afraid/to fear,1
632,弹,"crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)",1
633,校,"proofread/to check/to compare, school",1
634,苦,bitter/intensely/miserable/painful,1
635,创,"a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create",1
636,假,"fake/false/artificial/to borrow/if/suppose, vacation",1
637,久,(long) time/(long) duration of time,1
638,错,mistake/error/blunder/fault/cross/uneven/wrong,1
639,承,to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive,1
640,印,stamp/seal/mark/print/India (abbrev.),1
641,晚,evening/night/late,1
642,兰,orchid,1
643,试,to test/to try/experiment/examination/test,1
644,股,"share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff",1
645,拿,to hold/to seize/to catch/to apprehend/to take,1
646,脑,brain,1
647,预,to advance/in advance/beforehand/to prepare,1
648,谁,"who, who",1
649,益,benefit/increase,1
650,阳,positive (electric.)/sun,1
651,若,to seem/like/as/if,1
652,哪,"how/which, (final part. preceded by N), which (followed by M or Num)",1
653,微,micro/tiny/miniature,1
654,尼,Buddhist nun/(often used in phonetic spellings),1
655,继,to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit,1
656,送,to deliver/to carry/to give (as a present)/to present (with)/to see off/to send,1
657,急,hurried/worried,1
658,血,"blood, blood",1
659,惊,to start/to be frightened/to be scared/alarm,1
660,伤,injure/injury/wound,1
661,素,plain/element,1
662,药,medicine/drug/cure,1
663,适,to fit/to suit,1
664,波,wave/ripple/storm/surge,1
665,夜,night,1
666,省,"frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit",1
667,初,at first/(at the) beginning/first/junior/basic,1
668,喜,to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad,1
669,卫,to guard/to protect/to defend/(surname),1
670,源,root/source/origin,1
671,食,"animal feed/eat/food, to feed",1
672,险,danger (ous)/rugged,1
673,待,"stay/delay, wait/treat/deal with/need/about/intending to do something",1
674,述,to state/to tell/to narrate/to relate,1
675,陆,"six (fraud-proof), (surname)/shore/land/continent",1
676,习,to practice/to study/habit,1
677,置,to install/to place/to put,1
678,居,reside,1
679,劳,toil,1
680,财,money/wealth/riches/property/valuables,1
681,环,bracelet/ring (not for finger)/to surround/to loop/loop,1
682,排,"a platoon/line up, row of logs or boards",1
683,福,good fortune,1
684,纳,to accept/to pay (tax etc.),1
685,欢,joyous/happy/pleased,1
686,雷,(surname)/thunder,1
687,警,to alert/to warn,1
688,获,"to catch/to obtain/to capture, reap/harvest",1
689,模,imitate/model/norm/pattern,1
690,充,fill/satisfy/fulfill/to act in place of/substitute/sufficient/full,1
691,负,lose/negative (math. etc.)/to bear/to carry (on one's back),1
692,云,"(classical) to say, cloud/(abbr.) for Yunnan/surname",1
693,停,to stop/to halt,1
694,木,tree/wood,1
695,游,"to walk/to tour/to roam/to swim/to travel, to roam/travel",1
696,龙,dragon/imperial/Long (a surname),1
697,树,tree,1
698,疑,to doubt/to misbelieve/to suspect,1
699,层,a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf,1
700,冷,cold,1
701,洲,continent/island,1
702,冲,"to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards",1
703,射,radio- (chem.)/shoot,1
704,略,plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize,1
705,范,pattern/model/example/(surname),1
706,竟,unexpectedly/actually/to go so far as to/indeed,1
707,句,"(a measure word, for sentences or lines of verse)/sentence",1
708,室,room,1
709,异,"(interj.)/raise/to stop, different/unusual/strange",1
710,激,to arouse/to incite/to excite/to stimulate/sharp/fierce/violent,1
711,汉,Chinese/name of a dynasty,1
712,村,village,1
713,哈,"laughter/yawn, a Pekinese/a pug",1
714,策,method/plan/policy/scheme,1
715,演,to develop/to evolve/to practice/to perform/to play/to act,1
716,简,simple,1
717,卡,"to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost",1
718,罪,guilt/crime/fault/blame/sin,1
719,判,to judge/to sentence/to discriminate/to discern,1
720,担,"to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility",1
721,州,(United States) state/province/sub-prefecture,1
722,静,still/calm/quiet/not moving,1
723,退,retreat/to decline/to move back/to withdraw,1
724,既,already/since/both... (and...),1
725,衣,"clothes, gown/to dress/to wear",1
726,您,you (formal),1
727,宗,school/sect/purpose/model/ancestor/family,1
728,积,to amass/to accumulate/to store/old/long-standing,1
729,余,extra/surplus/remaining/after/I/me,1
730,痛,ache/pain/sorrow,1
731,检,to check/to examine/to inspect,1
732,差,"difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven",1
733,富,rich,1
734,灵,alert/departed soul/efficacious/quick/effective/intelligence,1
735,协,cooperate/harmonize/to help/to assist/to join,1
736,角,"angle/horn/horn-shaped, Chinese musical note/angle/horn",1
737,占,"to observe/to divine, to divine, to occupy/to constitute/to make up/to account",1
738,配,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription),1
739,征,attack/levy (troops or taxes)/journey/trip/expedition,1
740,修,to decorate/to embellish/to repair/to build/to study/to write/to cultivate,1
741,皮,leather/skin/fur,1
742,挥,scatter/wield/wipe away,1
743,胜,"(also sheng4) able to do/competent enough to, peptide, victorious",1
744,降,"to drop/to fall/to come down/to descend, surrender",1
745,阶,rank or step/stairs,1
746,审,to examine/to investigate/carefully/to try (in court),1
747,沉,submerge/immerse/sink/deep/profound/to lower/to drop,1
748,坚,strong/solid/firm/unyielding/resolute,1
749,善,good,1
750,妈,ma/mamma,1
751,刘,(surname)/to kill,1
752,读,"comma/phrase marked by pause, to read/to study",1
753,啊,"(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)",1
754,超,to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross,1
755,免,to exempt/to remove/to avoid/to excuse,1
756,压,"to press/to push down/to keep under (control), in the first place/to crush",1
757,银,silver,1
758,买,buy,1
759,皇,(surname)/emperor,1
760,养,"give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)",1
761,伊,he/she/(surname)/Iraq (abbrev.),1
762,怀,to think of/to cherish/mind/heart/bosom,1
763,执,execute (a plan)/grasp,1
764,副,secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair),1
765,乱,in confusion/disorderly,1
766,抗,to resist/to fight/to defy,1
767,犯,to violate/to offend,1
768,追,pursue (a problem)/to chase,1
769,帮,to assist/to support/to help/group/gang/party,1
770,宣,to declare (publicly)/to announce,1
771,佛,"Buddha/Buddhism, seemingly",1
772,岁,year/years old/(a measure word),1
773,航,boat/ship/vessel/craft/to navigate/to sail,1
774,优,excellent/superior,1
775,怪,queer/to blame,1
776,香,fragrant/incense/(of food) savory/appetizing/sweet/scented/popular,1
777,著,,1
778,田,(surname)/field/farm,1
779,铁,iron,1
780,控,to accuse/to charge/to control/to sue,1
781,税,taxes/duties,1
782,左,left,1
783,右,right (-hand),1
784,份,"(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)",1
785,穿,to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread,1
786,艺,skill/art,1
787,背,"carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body",1
788,阵,disposition of troops/short period/wave/spate/burst/spell,1
789,草,grass/straw/draft (of a document)/careless/rough/manuscript/hasty,1
790,脚,"a kick/foot/role, role",1
791,概,general/approximate,1
792,恶,"nauseated, evil, to hate/to loathe",1
793,块,"piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)",1
